,id,age,gpa,income,subject_risk,cheat_activity,cheat_disagree,inc,holt_risk,mean_side,mean_cat_person,sex
72,qt4qf9sm,20.0,6.0,10 000 - 20 000 rubles,8.0,4.0,6.0,2,9,0.625,2.625,0
73,glednkge,22.0,7.0,40 000 - 70 000 rubles,8.0,2.0,8.0,4,8,0.5,2.25,1
74,19rd7obr,19.0,9.0,<10 000 rubles,8.0,1.0,9.0,1,8,0.375,2.25,0
75,38z8h7xh,18.0,6.0,<10 000 rubles,8.0,6.0,6.0,1,7,0.75,2.875,1
76,yjssiiak,21.0,10.0,20 000 - 40 000 rubles,8.0,2.0,8.0,3,9,0.625,2.25,1
77,dqqwewna,19.0,7.0,70 000 - 100 000 rubles,7.0,3.0,8.0,5,7,0.625,2.625,0
78,hold064k,20.0,6.0,>100 000 rubles,8.0,4.0,8.0,6,7,0.75,2.125,1
79,p0wf5ypc,20.0,9.0,20 000 - 40 000 rubles,7.0,2.0,8.0,3,8,0.625,2.125,0
80,uoxpq3xb,22.0,8.0,70 000 - 100 000 rubles,6.0,1.0,10.0,5,9,1.0,2.25,0
81,iii1294w,21.0,7.0,20 000 - 40 000 rubles,7.0,4.0,8.0,3,9,0.75,2.5,1
82,0cyoyx66,22.0,8.0,70 000 - 100 000 rubles,6.0,1.0,8.0,5,7,0.625,2.25,1
83,ax6r14op,23.0,9.0,>100 000 rubles,8.0,3.0,9.0,6,7,0.625,2.0,0
84,3622n19e,22.0,7.0,70 000 - 100 000 rubles,7.0,2.0,9.0,5,9,0.875,2.625,0
85,kf5m570s,22.0,6.0,20 000 - 40 000 rubles,6.0,3.0,6.0,3,7,0.75,2.625,0
