,round,categ_num,categ_person,flg_max_num,id,age,gender,gpa,income,subject_risk,cheat_activity,cheat_disagree,inc,holt_risk,mean_side,mean_cat_person
66,1,2,1,0,w7tw5x8r,21.0,Female,8.0,20 000 - 40 000 rubles,9.0,3.0,2.0,3,6,0.75,1.875
67,1,2,1,0,6ixv8n1i,21.0,Female,9.0,20 000 - 40 000 rubles,8.0,2.0,5.0,3,8,0.5,1.25
68,1,2,3,0,0t505mu7,19.0,Male,5.0,10 000 - 20 000 rubles,9.0,5.0,8.0,2,7,0.5,2.625
69,1,1,1,1,b8icfsi6,21.0,Female,7.0,40 000 - 70 000 rubles,7.0,5.0,10.0,4,4,0.875,1.0
70,1,1,2,1,e0bpat9i,22.0,Female,7.0,40 000 - 70 000 rubles,7.0,2.0,7.0,4,8,0.875,2.375
71,1,3,3,1,3qcyrqp3,24.0,Male,8.0,>100 000 rubles,8.0,2.0,8.0,6,9,0.5,2.5
72,1,1,3,1,qt4qf9sm,20.0,Female,6.0,10 000 - 20 000 rubles,8.0,4.0,6.0,2,9,0.625,2.625
73,1,3,3,1,glednkge,22.0,Male,7.0,40 000 - 70 000 rubles,8.0,2.0,8.0,4,8,0.5,2.25
74,1,3,2,0,19rd7obr,19.0,Female,9.0,<10 000 rubles,8.0,1.0,9.0,1,8,0.375,2.25
75,1,2,3,1,38z8h7xh,18.0,Male,6.0,<10 000 rubles,8.0,6.0,6.0,1,7,0.75,2.875
76,1,3,2,1,yjssiiak,21.0,Male,10.0,20 000 - 40 000 rubles,8.0,2.0,8.0,3,9,0.625,2.25
77,1,1,1,1,dqqwewna,19.0,Female,7.0,70 000 - 100 000 rubles,7.0,3.0,8.0,5,7,0.625,2.625
78,1,1,3,1,hold064k,20.0,Male,6.0,>100 000 rubles,8.0,4.0,8.0,6,7,0.75,2.125
79,1,3,2,1,p0wf5ypc,20.0,Female,9.0,20 000 - 40 000 rubles,7.0,2.0,8.0,3,8,0.625,2.125
80,1,3,2,1,uoxpq3xb,22.0,Female,8.0,70 000 - 100 000 rubles,6.0,1.0,10.0,5,9,1.0,2.25
81,1,3,3,1,iii1294w,21.0,Male,7.0,20 000 - 40 000 rubles,7.0,4.0,8.0,3,9,0.75,2.5
82,1,3,3,0,0cyoyx66,22.0,Male,8.0,70 000 - 100 000 rubles,6.0,1.0,8.0,5,7,0.625,2.25
83,1,3,2,1,ax6r14op,23.0,Female,9.0,>100 000 rubles,8.0,3.0,9.0,6,7,0.625,2.0
84,1,1,2,1,3622n19e,22.0,Female,7.0,70 000 - 100 000 rubles,7.0,2.0,9.0,5,9,0.875,2.625
85,1,2,1,1,kf5m570s,22.0,Female,6.0,20 000 - 40 000 rubles,6.0,3.0,6.0,3,7,0.75,2.625
86,2,2,2,0,b0s88jol,21.0,Male,9.0,10 000 - 20 000 rubles,6.0,3.0,4.0,2,7,0.5,1.75
87,2,3,1,0,fgy4bsys,20.0,Male,6.0,40 000 - 70 000 rubles,3.0,3.0,4.0,4,6,0.5,1.5
88,2,1,1,1,au42r31p,21.0,Male,8.0,20 000 - 40 000 rubles,6.0,5.0,6.0,3,6,0.75,1.0
89,2,1,1,0,dj8u2oej,21.0,Female,8.0,<10 000 rubles,3.0,1.0,10.0,1,6,0.125,1.0
90,2,2,1,1,6yhpp3ae,21.0,Male,7.0,<10 000 rubles,4.0,3.0,7.0,1,4,0.75,1.0
91,2,1,1,1,ccna7j4r,21.0,Female,8.0,40 000 - 70 000 rubles,7.0,6.0,8.0,4,7,0.625,1.875
92,2,3,1,1,k5aiaq5z,19.0,Female,9.0,10 000 - 20 000 rubles,4.0,3.0,5.0,2,2,0.375,1.125
93,2,1,1,1,wwh5c4qx,20.0,Male,7.0,70 000 - 100 000 rubles,6.0,1.0,10.0,5,5,0.625,1.375
94,2,1,1,1,c4theher,22.0,Female,9.0,>100 000 rubles,7.0,3.0,6.0,6,6,0.75,1.75
95,2,3,1,1,gxzil8r6,21.0,Male,8.0,>100 000 rubles,8.0,3.0,10.0,6,4,0.75,1.0
96,2,2,2,1,vweul44w,20.0,Female,9.0,40 000 - 70 000 rubles,2.0,1.0,10.0,4,3,0.625,1.125
97,2,2,3,1,tssy3ee6,21.0,Female,6.0,20 000 - 40 000 rubles,8.0,3.0,8.0,3,7,0.75,2.125
98,2,1,2,1,9k4c7om1,20.0,Female,7.0,<10 000 rubles,6.0,3.0,4.0,1,5,0.5,1.25
99,2,3,1,0,w32okdcv,20.0,Male,7.0,20 000 - 40 000 rubles,3.0,1.0,10.0,3,5,0.625,1.625
100,2,1,1,1,xf3nj1in,21.0,Male,6.0,20 000 - 40 000 rubles,5.0,3.0,10.0,3,2,0.5,1.0
101,2,1,1,0,5y7x35fr,20.0,Female,8.0,10 000 - 20 000 rubles,6.0,5.0,5.0,2,5,0.375,1.375
102,2,3,1,0,xxwo1s8k,19.0,Female,9.0,40 000 - 70 000 rubles,3.0,2.0,8.0,4,7,0.5,1.125
103,2,1,1,1,pz2ntzyz,20.0,Female,6.0,20 000 - 40 000 rubles,5.0,4.0,6.0,3,4,0.75,1.0
104,2,1,1,0,lzu4f2al,20.0,Female,8.0,10 000 - 20 000 rubles,4.0,2.0,5.0,2,3,0.625,1.0
105,2,1,1,1,hqfyrx31,20.0,Female,9.0,70 000 - 100 000 rubles,5.0,3.0,3.0,5,2,0.875,1.0
106,2,3,3,1,ym95j2cc,20.0,Female,8.0,40 000 - 70 000 rubles,4.0,4.0,4.0,4,5,0.5,1.75
107,2,1,1,1,ynata8fr,21.0,Female,7.0,70 000 - 100 000 rubles,6.0,7.0,4.0,5,3,0.75,1.5
108,2,1,1,1,v2mnqbhc,21.0,Female,8.0,40 000 - 70 000 rubles,5.0,2.0,8.0,4,2,0.625,1.0
